true_album,predicted_album,confidence,lyrics_preview
Europa,Café Belga,0.08431431044236068,"[Zwrotka 1: Taco Hemingway]  Tylko dla nas ten basen w Toskanii  Wokół wrzosy, więc nie musisz się martwić o stanik  Gdy miałem osiemnaście lat wstąpić chciałem do armii  Dwa lata później chciałem leżeć już 6 stóp pod wami  Ile tych wersów wpisanych "
Flagey EP,Marmur,0.07785122450197093,"[Refren: Taco Hemingway]  Profesor Oak, kiedy robię flex  Nie znam twoich ulubieńców, sprawdzę Pokédex  Myślę o snach, które mogę mieć  Myślę o snach, także odejdź precz  Profesor Oak, kiedy robię flex  Nie znam twoich ulubieńców, sprawdzę Pokédex  M"
"SOMA 0,5 mg",Café Belga,0.07669637861913862,"[Intro]  (Please form yourselves into lines for a soma distribution  Please form yourselves into lines for a soma distribution  Delicious soma, the perfect drug, euphoric, narcotic, pleasantly hallucinal  We have learned to take a gram of soma  It's "
"SOMA 0,5 mg","POCZTÓWKA Z WWA, LATO '19",0.08198482788740856,"[Refren: Taco Hemingway]  Wiem, wiem, że nie chcesz mnie znać, dobrze wiem  Znowu śledzę cię w snach, ale nie ma cię, nie ma nas  W moim sercu nie ma miejsca, chyba nie mam szans  Wiem, wiem, że nie chcesz mnie znać, dobrze wiem (wiem)  Znowu śledzę "
"SOMA 0,5 mg","0,25 mg EP",0.15432440593817612,"[Refren: Quebonafide & Taco Hemingway]  Nowa wiza, chociaż nadal nie mam w banku kart  Obok leży moja Frida, którą męczy świat  Kiedyś Sokół tu przewidział ile będę wart  Teraz słońce świeci tylko dla mnie jak…  Kropla wina na pościeli, znowu męczy k"
"0,25 mg EP","POCZTÓWKA Z WWA, LATO '19",0.0784489014605404,"[Refren: Taco Hemingway]  Wiem, wiem, że nie chcesz mnie znać, dobrze wiem  Znowu śledzę cię w snach, ale nie ma cię, nie ma nas  W moim sercu nie ma miejsca, chyba nie mam szans  Wiem, wiem, że nie chcesz mnie znać, dobrze wiem  Znowu śledzę cię w s"
Café Belga,Europa,0.07523401968399886,"[Intro: Bobby Baccalieri i Anthony Soprano]  - What’s that, a Motorola?  - Yeah. Supposed to be the best.﻿    [Refren: Taco Hemingway]  Lepiej żyło się na Motorolach  Moi ludzie nie śpią nocą w domach  Bez pracy prawie trzy dychy  Jak nie wyjdą rapy "
Jarmark,LATARNIE WSZĘDZIE DAWNO ZGASŁY,0.0753281828773793,"[Refren: Taco Hemingway]  Mówię im arrivederci  Myślę o czasach, w których nie bałem się śmierci (blok blok)  Piłem, paliłem te setki – rok w rok  Ty nie udawaj tu Greka (byłeś tam ze mną)  Na Woli do blantów dosypywali mi fety  Piana na pysku, pluję"
Szprycer,Marmur,0.07432597068052438,"[Refren: Taco Hemingway]  Idź stąd, wróć tu  Bliskość, upór  I tak cały boży dzień  Idź stąd, wróć tu  Cisza, tumult  Zaraz zakochamy się  Nie pamiętam co zrobiłem źle  Ale chyba coś zrobiłem źle, ey, ey  Twoja mina mówi “dobrze wiesz”  Twoja mina mó"
Café Belga,LATARNIE WSZĘDZIE DAWNO ZGASŁY,0.07638514174859974,"[Zwrotka 1: Taco Hemingway]  Jak zasięg zerwany w tunelu  Jak kożuch płynący po mleku  Download'y zerwane przy procentach 99-ciu  Jak bankomat, co nie wydał ci PLN-ów  Słuchawki splątane w za ciasnej kieszeni (skrrt, skrrt)  Jak żółtko rozlane na sta"
Europa,Jarmark,0.07697400320444539,"[Intro: Taco Hemingway]  Wowowowo...  Okej    [Zwrotka 1: Taco Hemingway]  Smutne sceny pokazuje telewizor  Ludzie patrzą w oczy sobie, ale się nie widzą  Nie, nie, nie, nie  Nie, nie, nie, nie  Smutny chłopak w ortalionie chciałby milion  Ale w jedn"
Umowa o dzieło,Marmur,0.07584835419640122,"[Intro]  Każdy może ćwiczyć, wszyscy mogą ćwiczyć. Wiek nie odgrywa żadnej roli. Nareszcie jest szansa na to szczupłe, seksowne ciało, jakie zawsze chcieliście mieć    [Zwrotka 1: Taco Hemingway]  Słuchaj, ziomek, nie chcę żadnej wymówki  Jeśli robis"
Szprycer,Café Belga,0.07700941277079085,"[Intro: Taco Hemingway]  Aye, aye, aye  Ah!    [Zwrotka 1: Taco Hemingway]  Myśleli, że znają Taco (nie poznają Taco, hej)  Robie wygibasy dzisiaj, cały świat jest moją karimatą (karimatą, aye)  Całe życie robię rapy, dzisiaj wszyscy mówią ""arigato"" "
"0,25 mg EP","SOMA 0,5 mg",0.10936717563632617,"[Zwrotka 1: Taco Hemingway]  To niespotykane, każdy chciałby mnie dla siebie, a ja wolę poligamię  Chociaż jest to niemożliwe, ledwie żyję z sobą samym  Jem homara w pojedynkę, czuję się jak Colin Farrell  Prawie wjechał w szlaban, bo nikt nie otworz"
